Job_Name,Company_Name,Location,Published_Time,exp_level,exp_years,Job_Type
Bellboy,Park Rotana,"Abu Dhabi, United Arab Emirates",8 days ago,Not specified,Hospitality/Hotels/Food Services,Full Time
Registered Nurse - Emergency,Mediclinic International,"Abu Dhabi, United Arab Emirates",8 days ago,Not specified,Customer Service/Support,Full Time
Product Associate - UAE National,Bayut,"Dubai, United Arab Emirates",8 days ago,Not specified,Medical/Healthcare,Full Time
Senior Analyst - Logistics - Kuwait,Alshaya Group,"Kuwait City, Kuwait",8 days ago,Experienced,IT/Software Development,Full Time
"Sales Representative (Moving/Relocations) - Riyadh, Saudi Arabia",Move One,"Riyadh, Saudi Arabia",8 days ago,Not specified,Customer Service/Support,Full Time
Lebanese cuisine - Chef de Partie,apt resources,"Dubai, United Arab Emirates",8 days ago,Not specified,Hospitality/Hotels/Food Services,Full Time
Embedded Software Engineer,Si-Ware System,"Cairo, Egypt",8 days ago,Not specified,IT/Software Development,Full Time
"Executive Secretary, Jeddah",NOMAC,"Jeddah, Saudi Arabia",8 days ago,Experienced,1+ Yrs of Exp,Full Time
Associate HR Operations,Energy Consulting group,"Cairo, Egypt",8 days ago,Not specified,Administration,Full Time
Data Analytics Supervisor,Emirates Group Careers,"Dubai, United Arab Emirates",8 days ago,Not specified,IT/Software Development,Full Time
Commercial Manager,Buro Happold Engineering,"Riyadh, Saudi Arabia",8 days ago,Not specified,Business Development,Full Time
Service Operations Manager - Elevators & Escalators,KONE France,"Riyadh, Saudi Arabia",8 days ago,Not specified,Customer Service/Support,Full Time
PMC HSE Lead,Wood,"Dubai, United Arab Emirates",8 days ago,Not specified,Quality,Full Time
Web Optimization Specialist,Qatar Airways Other locations,"Doha, Qatar",8 days ago,Not specified,IT/Software Development,Full Time
Field Technical Spt Rep,DXC,"Cairo, Egypt",8 days ago,Not specified,Medical/Healthcare,Full Time
GSE Workshop Assistant,Qatar Airways Other locations,"Doha, Qatar",8 days ago,Not specified,Administration,Full Time
Area Sales Manager,Nathan & Nathan,"Dubai, United Arab Emirates",8 days ago,Not specified,Customer Service/Support,Full Time
Reservations Agent,Rosh Rayhaan by Rotana,"Riyadh, Saudi Arabia",8 days ago,Not specified,Customer Service/Support,Full Time
Project Controls Manager,Worley group,"Jeddah, Saudi Arabia",8 days ago,Not specified,Engineering - Construction/Civil/Architecture,Full Time
"primary ell teachers - dubai, asap 2023",Teachanywhere,"Dubai, United Arab Emirates",8 days ago,Not specified,R&D/Science,Full Time
QA/QC Inspector,UrbaCon Contracting & Trading Company,"Doha, Qatar",8 days ago,Not specified,Engineering - Construction/Civil/Architecture,Full Time
LABORATORY TECHNOLOGY SPECIALIST II,King Faisal Specialist Hospital & Research Centre,"Riyadh, Saudi Arabia",8 days ago,Not specified,Installation/Maintenance/Repair,Full Time
STAFF NURSE III,King Faisal Specialist Hospital & Research Centre,"Jeddah, Saudi Arabia",8 days ago,Not specified,Medical/Healthcare,Full Time
Customer Co-ordinator,Falcon Services,"Doha, Qatar",8 days ago,Not specified,Administration,Full Time
Sealines Engineering Coordinator (16/08/2023),MphExperts,"Doha, Qatar",8 days ago,Not specified,Engineering - Construction/Civil/Architecture,Full Time
Application Architect: Oracle Enterprise Applications (SCM),IBM WTC Egypt,"Cairo, Egypt",8 days ago,Not specified,Installation/Maintenance/Repair,Full Time
Presales Consultant - KSA,01 Systems,"Riyadh, Saudi Arabia",8 days ago,Not specified,IT/Software Development,Full Time
Graphic Designer,Rgheeb,"Riyadh, Saudi Arabia",8 days ago,Not specified,Creative/Design/Art,Full Time
UI/UX Designer,Oakfoods,"Dubai, United Arab Emirates",8 days ago,Not specified,Creative/Design/Art,Full Time
Sales Specialist - Dubai,KHOUBOURAT,"Dubai, United Arab Emirates",8 days ago,Not specified,Business Development,Full Time
Application Architect: Oracle Enterprise Applications (Finance),IBM WTC Egypt,"Cairo, Egypt",8 days ago,Not specified,Installation/Maintenance/Repair,Full Time
Social Media Specialist,Rgheeb,"Riyadh, Saudi Arabia",8 days ago,Not specified,Writing/Editorial,Full Time
Social Media Intern - UAE National,Bayut,"Dubai, United Arab Emirates",8 days ago,Not specified,Writing/Editorial,Full Time
Revenue Auditor,Saadiyat Rotana Resort & Villas,"Abu Dhabi, United Arab Emirates",8 days ago,Not specified,Accounting/Finance,Full Time
CRM Executive,People Dynamics,"Cairo, Egypt",8 days ago,Not specified,Business Development,Full Time
Talent Acquisition Specialist,"Dentsu, Inc.","Cairo, Egypt",8 days ago,Not specified,Business Development,Full Time
General Services Coordinator,RATPDev Mobility Cairo,"Cairo, Egypt",8 days ago,Not specified,Administration,Full Time
Housekeeping Attendant,Arjaan by Rotana Dubai Media City,"Dubai, United Arab Emirates",8 days ago,Not specified,Administration,Full Time
Assistant Brand Manager,Oakfoods,"Dubai, United Arab Emirates",8 days ago,Not specified,Administration,Full Time
"RFP AMC FY JAN 1, 2024 TO DEC 31, 2026",Iskaan Tech,"Dubai, United Arab Emirates",8 days ago,Not specified,Engineering - Construction/Civil/Architecture,Full Time
Events Project Manager,Plum Jobs,"Dubai, United Arab Emirates",8 days ago,Not specified,Engineering - Construction/Civil/Architecture,Full Time
Recruitment Advisor - Cabin Crew (1 year Temporary Opportunity),Emirates Group Careers,"Dubai, United Arab Emirates",8 days ago,Not specified,Customer Service/Support,Full Time
Junior Acoustics Engineer Permanent Full-Time Dubai,Cundall,"Dubai, United Arab Emirates",8 days ago,Not specified,Creative/Design/Art,Full Time
"CONSULTANT, ADULT EMERGENCY MEDICINE",King Faisal Specialist Hospital & Research Centre,"Medina, Saudi Arabia",8 days ago,Not specified,Administration,Full Time
Director B2B Acceptance,FinTech Belgium,"Dubai, United Arab Emirates",8 days ago,Not specified,Business Development,Full Time
General Practitioner.Obstetrics & Gynaecology.Medcare Women and Children Hospital (Br),Aster DM Healthcare,"Dubai, United Arab Emirates",8 days ago,Not specified,R&D/Science,Full Time
AVP & Lead- Collections,First Gulf Bank PJSC,"Abu Dhabi, United Arab Emirates",8 days ago,Not specified,IT/Software Development,Full Time
Barista & Waiter,reeqwest,"Dubai, United Arab Emirates",8 days ago,Not specified,Hospitality/Hotels/Food Services,Full Time
Regional Solution Design Manager,Maersk Growth,"Dubai, United Arab Emirates",8 days ago,Not specified,IT/Software Development,Full Time
Marine Engineer,AECOM,"Abu Dhabi, United Arab Emirates",8 days ago,Not specified,Engineering - Construction/Civil/Architecture,Full Time
Supervisor of School Facilities,GEMS Group Holdings Limited,"Dubai, United Arab Emirates",8 days ago,Not specified,Administration,Full Time
Tint Film Installer,People Dynamics,"Doha, Qatar",8 days ago,Not specified,Installation/Maintenance/Repair,Full Time
Chief Supervisor - Planning & Development Transportation Network,Roads and Transport Authority,"Dubai, United Arab Emirates",8 days ago,Not specified,Accounting/Finance,Full Time
Planner II,Worley Parsons,"Doha, Qatar",8 days ago,Not specified,R&D/Science,Full Time
Aircraft Technician Structures - Etihad Engineering,Etihad Aviation Group,"Abu Dhabi, United Arab Emirates",8 days ago,Not specified,IT/Software Development,Full Time
ADMAF//Assistant to the Founder''s Office,BARKER LANGHAM,"Abu Dhabi, United Arab Emirates",8 days ago,Not specified,Administration,Full Time
Specialist Dermatologist,Mediclinic International,"Abu Dhabi, United Arab Emirates",8 days ago,Not specified,Medical/Healthcare,Full Time
SAP SD Consultant - Experienced Level,IBM WTC Egypt,"Cairo, Egypt",8 days ago,Not specified,Accounting/Finance,Full Time
Sales Associate,Nathan & Nathan,"Dubai, United Arab Emirates",8 days ago,Not specified,Business Development,Full Time
Senior Maintenance Planning Assistant,Emirates Group Careers,"Dubai, United Arab Emirates",8 days ago,Not specified,Installation/Maintenance/Repair,Full Time
Executive Secretary to Chief Clinical Officer - Emirati,Mediclinic International,"Dubai, United Arab Emirates",8 days ago,Not specified,Accounting/Finance,Full Time
"Senior Manager, Stakeholder Management",ROSHN,"Riyadh, Saudi Arabia",8 days ago,Not specified,IT/Software Development,Full Time
HR People Partner,Unilever Schweiz GmbH,"Cairo, Egypt",8 days ago,Not specified,Human Resources,Full Time
Maintenance Planning Assistant,Emirates Group Careers,"Dubai, United Arab Emirates",8 days ago,Not specified,Administration,Full Time
Receptionist,Almansoori,"Dubai, United Arab Emirates",8 days ago,Not specified,Administration,Full Time
WAREHOUSE & LOGISTICS MANAGER (ENGG) (UAE National Only),Emirates Group Careers,"Dubai, United Arab Emirates",8 days ago,Not specified,Administration,Full Time
NANNY GESUCHT,"GreatAuPair, LLC","Doha, Qatar",8 days ago,Not specified,Administration,Full Time
"QUALITY IMPROVEMENT COORDINATOR, LABORATORY",King Faisal Specialist Hospital & Research Centre,"Riyadh, Saudi Arabia",8 days ago,Not specified,IT/Software Development,Full Time
Application Architect: Oracle Enterprise Applications (OCI),IBM WTC Egypt,"Cairo, Egypt",8 days ago,Not specified,Installation/Maintenance/Repair,Full Time
Lead of Technical Safety & LP COMP 2 Shared Resources (17/08/2023),MphExperts,"Doha, Qatar",8 days ago,Not specified,IT/Software Development,Full Time
Customer Support Manager - Fully Remote,CoverGo Limited,"Dubai, United Arab Emirates",8 days ago,Not specified,Administration,Full Time
School Doctor,GEMS Group Holdings Limited,"Dubai, United Arab Emirates",8 days ago,Not specified,Medical/Healthcare,Full Time
Senior Specialist Payroll,AL-AYUNI,"Riyadh, Saudi Arabia",8 days ago,Not specified,Human Resources,Full Time
AFC Data Analyst (Automatic Fare Collection System),SNC-Lavalin,"Riyadh, Saudi Arabia",8 days ago,Not specified,IT/Software Development,Full Time
"Sr. Supervisor, ICT Projects Egypt - Giza - Orange Egypt",Orange Digital Ventures,"Cairo, Egypt",8 days ago,Not specified,IT/Software Development,Full Time
Specialist- CB & PB CAD - Elite & Private Banking (UAE Nationals ONLY),First Abu Dhabi Bank,"Abu Dhabi, United Arab Emirates",8 days ago,Not specified,Accounting/Finance,Full Time
Internship - October 2023,Rotana Hotel Management Corporation,"Doha, Qatar",8 days ago,Not specified,IT/Software Development,Full Time
Full time live in housekeeper,"GreatAuPair, LLC","Riyadh, Saudi Arabia",8 days ago,Not specified,IT/Software Development,Full Time
Group Senior Manager - HSE Training & Programme,DP World,"Dubai, United Arab Emirates",8 days ago,Not specified,IT/Software Development,Full Time
Graduate Cost Analyst,Worley group,"Riyadh, Saudi Arabia",8 days ago,Not specified,Accounting/Finance,Full Time
Workshop Supervisor,Qatar Airways Other locations,"Doha, Qatar",8 days ago,Not specified,Human Resources,Full Time
Sales Executive,Rai Estate & Builders,"Dubai, United Arab Emirates",8 days ago,Not specified,Business Development,Full Time
Captain - Emirates Palace Catering,Mandarin Oriental Hotel Group Limited,"Abu Dhabi, United Arab Emirates",8 days ago,Not specified,Customer Service/Support,Full Time
Speciality Chef,Farah Experiences LLC,"Dubai, United Arab Emirates",8 days ago,Not specified,Hospitality/Hotels/Food Services,Full Time
Insurance Administrator,Mediclinic International,"Al Ain, United Arab Emirates",8 days ago,Not specified,Administration,Full Time
Client Advisor (UAE Nationals Only) – Luxury Retail,Charterhouse Middle East,"Dubai, United Arab Emirates",8 days ago,Not specified,Customer Service/Support,Full Time
"New Accounts Manager - KSA National, 3P Consumables",Afaq Q Tech General Trading,"Riyadh, Saudi Arabia",8 days ago,Not specified,Customer Service/Support,Full Time
Store Team Member-2,Giant Eagle,"Alexandria, Egypt",8 days ago,Not specified,IT/Software Development,Full Time
I worked in a medical institution in pediatrics. It wi,"GreatAuPair, LLC","Doha, Qatar",8 days ago,Not specified,Marketing/PR/Advertising,Full Time
Ruya Batch1 WHP Telecom Engineer (17/08/2023),MphExperts,"Doha, Qatar",8 days ago,Not specified,IT/Software Development,Full Time
Head of Transportation and Installation Execution - COMP2 (17/08/2023),MphExperts,"Doha, Qatar",8 days ago,Not specified,Installation/Maintenance/Repair,Full Time
Legal Secretary,Charterhouse Middle East,"Doha, Qatar",8 days ago,Not specified,Administration,Full Time
Part Time Sales Floor Team Member,Fleet Farm,"Alexandria, Egypt",8 days ago,Not specified,IT/Software Development,Full Time
Senior Accountant M/F,Egis,"Kuwait City, Kuwait",8 days ago,Not specified,Accounting/Finance,Full Time
Online Fulfillment Coordinator,Fleet Farm,"Alexandria, Egypt",8 days ago,Not specified,Marketing/PR/Advertising,Full Time
Electrical BIM Technician,Surbana Jurong,"Dubai, United Arab Emirates",8 days ago,Not specified,Engineering - Construction/Civil/Architecture,Full Time
Assistant Technician - Draught,Qatar Airways Other locations,"Doha, Qatar",8 days ago,Not specified,Installation/Maintenance/Repair,Full Time
Senior Account Manager,DJE Holdings,"Abu Dhabi, United Arab Emirates",8 days ago,Not specified,Customer Service/Support,Full Time
HR Operations Specialist,Kimberly-Clark,"Jeddah, Saudi Arabia",8 days ago,Not specified,Administration,Full Time
"Specialist, Destination Marketing",ROSHN,"Riyadh, Saudi Arabia",8 days ago,Not specified,Marketing/PR/Advertising,Full Time
Marketing Specialist,Rgheeb,"Riyadh, Saudi Arabia",8 days ago,Not specified,Marketing/PR/Advertising,Full Time
"Manager, Data Architecture & Engineering Egypt - Giza - Orange Egypt",Orange Digital Ventures,"Cairo, Egypt",8 days ago,Not specified,Engineering - Construction/Civil/Architecture,Full Time
Senior Physiotherapist - Paediatric & Paediatric Respiratory,Mediclinic International,"Dubai, United Arab Emirates",8 days ago,Not specified,Customer Service/Support,Full Time
Food and Beverage Attendant - HIA Lounges | Recruitment Event | Manila| Philippines,Qatar Airways Other locations,"Doha, Qatar",8 days ago,Not specified,Hospitality/Hotels/Food Services,Full Time
"Senior Specialist, Projects Planning & Scheduling",ROSHN,"Riyadh, Saudi Arabia",8 days ago,Not specified,IT/Software Development,Full Time
ELV Senior Sales Engineer - Qatar,KHOUBOURAT,"Doha, Qatar",8 days ago,Senior Management,Sales/Retail,Full Time
Relationship Officer - Group Banking - Kuwait,Alshaya Group,"Kuwait City, Kuwait",8 days ago,Not specified,Banking,Full Time
Senior Interior Designer - Riyadh,KHOUBOURAT,"Riyadh, Saudi Arabia",8 days ago,Senior Management,Engineering - Construction/Civil/Architecture,Full Time
Credit Controller - Accounts Receivable,Hilti Italia,"Doha, Qatar",8 days ago,Not specified,Accounting/Finance,Full Time
Graphic Designer,AL-AYUNI,"Riyadh, Saudi Arabia",8 days ago,Not specified,Creative/Design/Art,Full Time
"Senior Specialist, Cost & Budget Control",ROSHN,"Riyadh, Saudi Arabia",8 days ago,Not specified,Human Resources,Full Time
Brand Marketing Specialist (.Tech),Directi Group,"Dubai, United Arab Emirates",8 days ago,Not specified,Marketing/PR/Advertising,Full Time
Junior Interior Designer - Riyadh,KHOUBOURAT,"Riyadh, Saudi Arabia",8 days ago,Entry Level,Engineering - Construction/Civil/Architecture,Full Time
"Senior Compliance Manager (KSA nat), Risk and Compliance Solutions",Amazon MENA,"Riyadh, Saudi Arabia",8 days ago,Not specified,IT/Software Development,Full Time
SURVEYOR - CIVIL,alfanar Group,"Riyadh, Saudi Arabia",8 days ago,Not specified,Engineering - Construction/Civil/Architecture,Full Time
Customer Service Agent (Temporary contract),Emirates Group Careers,"Dubai, United Arab Emirates",8 days ago,Not specified,Customer Service/Support,Full Time
Facilities Management Engineer- Electrical,UrbaCon Contracting & Trading Company,"Doha, Qatar",8 days ago,Not specified,Engineering - Construction/Civil/Architecture,Full Time
PMC Senior Planning and Cost Engineer,Wood,"Dubai, United Arab Emirates",8 days ago,Not specified,Engineering - Construction/Civil/Architecture,Full Time
Islamic Learning Support | Universal American School | Dubai,Al Futtaim Group Other locations,"Dubai, United Arab Emirates",8 days ago,Not specified,Education/Teaching,Full Time
Front Desk Receptionist,Four Seasons Hotels and Resorts,"Riyadh, Saudi Arabia",8 days ago,Not specified,Administration,Full Time
SPECIALIST PHYSICIAN,King Faisal Specialist Hospital & Research Centre,"Jeddah, Saudi Arabia",8 days ago,Not specified,Medical/Healthcare,Full Time
Plant Manager (f123456),MphExperts,"Abu Dhabi, United Arab Emirates",8 days ago,Not specified,Operations/Management,Full Time
Senior Project Manager,Jones Lang LaSalle SAS,"Abu Dhabi, United Arab Emirates",8 days ago,Not specified,Engineering - Construction/Civil/Architecture,Full Time
Project Services Lead,Amec Foster Wheeler,"Doha, Qatar",8 days ago,Not specified,Customer Service/Support,Full Time
Timekeeper,Wood,"Dubai, United Arab Emirates",8 days ago,Not specified,Customer Service/Support,Full Time
Mechanical Engineer,Wood,"Dubai, United Arab Emirates",8 days ago,Not specified,Installation/Maintenance/Repair,Full Time
LICENSED AIRCRAFT ENGINEER II - AIRCRAFT CABIN MAINTENANCE,Emirates Group Careers,"Dubai, United Arab Emirates",8 days ago,Not specified,IT/Software Development,Full Time
Institution Head,Abbott Egypt,"Cairo, Egypt",8 days ago,Not specified,Accounting/Finance,Full Time
Auto Painter,GALADARI BROTHERS CO. L.L.C,"Dubai, United Arab Emirates",8 days ago,Not specified,Engineering - Construction/Civil/Architecture,Full Time
Guest Service Officer - Front Office,Grand Hyatt Dubai,"Dubai, United Arab Emirates",8 days ago,Not specified,Administration,Full Time
"primary class teacher: grade 5 - dubai, asap 2023",Teachanywhere,"Dubai, United Arab Emirates",8 days ago,Not specified,R&D/Science,Full Time
Engineering Coordinator,Grand Hyatt Abu Dhabi,"Dubai, United Arab Emirates",8 days ago,Not specified,Engineering - Construction/Civil/Architecture,Full Time
PMC Lead Planning and Cost Engineer,Wood,"Dubai, United Arab Emirates",8 days ago,Not specified,Engineering - Construction/Civil/Architecture,Full Time
Satellite System Engineer,Eram Talent,"Riyadh, Saudi Arabia",8 days ago,Not specified,Installation/Maintenance/Repair,Full Time
Secondary French Teacher - 6months temp contract,PriorySouthsea,"Dubai, United Arab Emirates",8 days ago,Not specified,Creative/Design/Art,Full Time
CME - Sales Coordinator,Canon Europe,"Dubai, United Arab Emirates",8 days ago,Not specified,R&D/Science,Full Time
Sales Executive-Russian Speakers | Al Futtaim Automotive | BYD 1,Al Futtaim Group Other locations,"Dubai, United Arab Emirates",8 days ago,Not specified,Project/Program Management,Full Time
Agent commercial(e) indépendant(e) - Norvège,Petit Futé,"Kuwait City, Kuwait",8 days ago,Not specified,Customer Service/Support,Full Time
Data Governance Manager,Cognizant Technology Solutions Corporation,"Riyadh, Saudi Arabia",8 days ago,Not specified,IT/Software Development,Full Time
Associate - Customer Success (UAE National),Kitopi,"Dubai, United Arab Emirates",8 days ago,Not specified,Business Development,Full Time
Laundry Manager - Jumeirah Zabeel Saray,DUBAI HOLDING,"Dubai, United Arab Emirates",8 days ago,Not specified,Business Development,Full Time
Training and Development Specialist III,King Abdullah bin Abdelaziz University,"Riyadh, Saudi Arabia",8 days ago,Not specified,Business Development,Full Time
"Mechanical Technician, Rabigh",NOMAC,"Riyadh, Saudi Arabia",8 days ago,Not specified,Installation/Maintenance/Repair,Full Time
"Technical Manager, Umluj",NOMAC,"Riyadh, Saudi Arabia",8 days ago,Not specified,Engineering - Construction/Civil/Architecture,Full Time
"OFFICER, PURCHASING (For Saudi only ) 1",alfanar Group,"Dammam, Saudi Arabia",8 days ago,Not specified,Administration,Full Time
SUPPLIES PLANNER I,King Faisal Specialist Hospital & Research Centre,"Riyadh, Saudi Arabia",8 days ago,Not specified,Logistics/Supply Chain,Full Time
PMC Specialist Planning and Cost Engineer,Wood,"Dubai, United Arab Emirates",8 days ago,Not specified,Engineering - Construction/Civil/Architecture,Full Time
RA Operational Excellence and Strategy Head- MEA,Novartis Pharmaceuticals Corporation,"Dubai, United Arab Emirates",8 days ago,Not specified,Operations/Management,Full Time
Commis 1 - F&B Culinary - Jumeirah Al Naseem,DUBAI HOLDING,"Dubai, United Arab Emirates",8 days ago,Not specified,Engineering - Construction/Civil/Architecture,Full Time
Saudi Nationals Only - Legal Entity Controller Associate - Riyadh,JP Morgan Chase,"Riyadh, Saudi Arabia",8 days ago,Not specified,Project/Program Management,Full Time
Outlet Manager,Rotana Hotel Management Corporation,"Doha, Qatar",8 days ago,Not specified,Marketing/PR/Advertising,Full Time
"Sushi Chef , Egyptian Only",Kempinski Hotels,"Cairo, Egypt",8 days ago,Not specified,Administration,Full Time
Mechanical Technical Instructor,BAE Systems,"Riyadh, Saudi Arabia",8 days ago,Not specified,Creative/Design/Art,Full Time
Arabic Learning Support | Universal American School | Dubai,Al Futtaim Group Other locations,"Dubai, United Arab Emirates",8 days ago,Not specified,Administration,Full Time
Senior Logistics Manager,Mace Group,"Dubai, United Arab Emirates",8 days ago,Not specified,IT/Software Development,Full Time
Horizon Product Officer,Qatar Airways Other locations,"Doha, Qatar",8 days ago,Not specified,Logistics/Supply Chain,Full Time
Administrative Assistant I,King Abdullah bin Abdelaziz University,"Riyadh, Saudi Arabia",8 days ago,Not specified,Administration,Full Time
70 Yo Elderly Haitian Fem,"GreatAuPair, LLC","Doha, Qatar",8 days ago,Not specified,Administration,Full Time
Counsellor (Bilingual Arabic & English speaker) - Maternity Cover - Dubai,PriorySouthsea,"Dubai, United Arab Emirates",8 days ago,Not specified,Administration,Full Time
Channel Sales Account Manager - KSA,"Fortinet, Inc","Riyadh, Saudi Arabia",8 days ago,Not specified,Customer Service/Support,Full Time
System Administrator,HOTELBEDS,"Dubai, United Arab Emirates",8 days ago,Not specified,Installation/Maintenance/Repair,Full Time
Credit Controller - Accounts Receivable,Hilti France,"Doha, Qatar",8 days ago,Not specified,Accounting/Finance,Full Time
Senior Civil Technical Office Engineer,GTCI Constructors ,"Cairo, Egypt",8 days ago,Experienced,7 - 10 Yrs of Exp,Full Time
Construction Manager,ArchirodonGroup,"Riyadh, Saudi Arabia",8 days ago,Not specified,Accounting/Finance,Full Time
Chief Accountant,Hilton Worldwide Holdings Inc,"Cairo, Egypt",8 days ago,Not specified,Accounting/Finance,Full Time
Supply Chain Director,Hunter Rose,"Riyadh, Saudi Arabia",8 days ago,Not specified,Logistics/Supply Chain,Full Time
Islamic Learning Support | Universal American School | Dubai,Dubai Festival City,"Dubai, United Arab Emirates",8 days ago,Not specified,Education/Teaching,Full Time
Bartender,Fivehotelsandresorts,"Dubai, United Arab Emirates",8 days ago,Not specified,Customer Service/Support,Full Time
Enterprise Architect,Al Nahiya Group,"Abu Dhabi, United Arab Emirates",8 days ago,Not specified,IT/Software Development,Full Time
Institution Head,Abbott Laboratories Inc,"Cairo, Egypt",8 days ago,Not specified,Accounting/Finance,Full Time
Project Director,Worley group,"Doha, Qatar",8 days ago,Not specified,Engineering - Construction/Civil/Architecture,Full Time
Personal Trainer,Mandarin Oriental Hotel Group Limited,"Dubai, United Arab Emirates",8 days ago,Not specified,Customer Service/Support,Full Time
Junior Help Desk Technician- 04311,Syneren Technologies Corporation,"Alexandria, Egypt",8 days ago,Not specified,Installation/Maintenance/Repair,Full Time
"Senior Specialist, Category (General Services) II",Ma’aden,"Riyadh, Saudi Arabia",8 days ago,Not specified,Human Resources,Full Time
Licensed Flight Dispatcher - UAE National Graduate Programme - UAE Nationals Only,Emirates Group Careers,"Dubai, United Arab Emirates",8 days ago,Not specified,Administration,Full Time
CCIT - Adjunct Faculty - Physics,The American University in the Emirates,"Dubai, United Arab Emirates",8 days ago,Not specified,Project/Program Management,Full Time
Manager- GTB Overdrafts & CMB,First Gulf Bank PJSC,"Abu Dhabi, United Arab Emirates",8 days ago,Not specified,Accounting/Finance,Full Time
PwC Academy - Finance Intern - Dubai,PricewaterhouseCoopers,"Dubai, United Arab Emirates",8 days ago,Not specified,Administration,Full Time
Catering Sales Manager,Four Seasons Hotels and Resorts,"Cairo, Egypt",8 days ago,Not specified,Customer Service/Support,Full Time
Tax & Reporting Manager,Danone Waters (UK & Ireland) Ltd.,"Cairo, Egypt",8 days ago,Not specified,Accounting/Finance,Full Time
LOGISTICS PROJECT MGR,Siemens Gamesa Renewable Energy,"Cairo, Egypt",8 days ago,Not specified,Logistics/Supply Chain,Full Time
Senior Project Manager,JLL Work Dynamics,"Abu Dhabi, United Arab Emirates",8 days ago,Not specified,Engineering - Construction/Civil/Architecture,Full Time
Translator and Interpreter,People Dynamics,"Doha, Qatar",8 days ago,Not specified,Customer Service/Support,Full Time
SOC Analyst – Level 3,Salt Search Ltd,"Riyadh, Saudi Arabia",8 days ago,Not specified,IT/Software Development,Full Time
Business Excellence Specialist,Nestlé Group,"Cairo, Egypt",8 days ago,Not specified,Business Development,Full Time
Service Operations Manager - Elevators & Escalators,Kone Ag,"Riyadh, Saudi Arabia",8 days ago,Not specified,Customer Service/Support,Full Time
Delegate/Sponsorships Sales Executive – Events,Salt Search Ltd,"Riyadh, Saudi Arabia",8 days ago,Not specified,Marketing/PR/Advertising,Full Time
Supervisor Consumer Analytics,Philip Morris Internationl,"Cairo, Egypt",8 days ago,Not specified,Marketing/PR/Advertising,Full Time
Strategic Delivery Manager,Buro Happold Engineering,"Riyadh, Saudi Arabia",8 days ago,Not specified,IT/Software Development,Full Time
J14154 - Secondary Male Maths Teacher - Sharjah UAE - Immediate,Edvectus,"Dubai, United Arab Emirates",8 days ago,Not specified,Operations/Management,Full Time
Content Strategist,Salt Search Ltd,"Riyadh, Saudi Arabia",8 days ago,Not specified,Writing/Editorial,Full Time
Associate Director - Integration & Separation (Transaction Services),KPMG Lower Gulf Limited,"Dubai, United Arab Emirates",8 days ago,Not specified,Administration,Full Time
Chief Accountant M/F,Egis Group,"Dubai, United Arab Emirates",8 days ago,Not specified,IT/Software Development,Full Time
Business Development and Partnerships Director,Salt Search Ltd,"Riyadh, Saudi Arabia",8 days ago,Not specified,Business Development,Full Time
"Attendant, Employee Residences",Kerzner International Management,"Dubai, United Arab Emirates",8 days ago,Not specified,Administration,Full Time
"Senior Sales Executive, Power & Pump Engines",audi Diesel Equipment Co.Ltd,"Dubai, United Arab Emirates",8 days ago,Not specified,Business Development,Full Time
Manager Consumer Insights & Analytics,Philip Morris Internationl,"Cairo, Egypt",8 days ago,Not specified,Marketing/PR/Advertising,Full Time
Restaurant Manager - Wyndham Grand Doha West Bay Beach,Wyndham Hotels and Resorts Inc,"Doha, Qatar",8 days ago,Not specified,Hospitality/Hotels/Food Services,Full Time
"Senior Specialist, Stakeholder Management",ROSHN,"Riyadh, Saudi Arabia",8 days ago,Not specified,Marketing/PR/Advertising,Full Time
Consulting - Finance & Accounting - Senior Associate (Egypt),PricewaterhouseCoopers,"Cairo, Egypt",8 days ago,Not specified,IT/Software Development,Full Time
"ETIC, Financial Accounting - Senior Associate",PricewaterhouseCoopers,"Cairo, Egypt",8 days ago,Not specified,Accounting/Finance,Full Time
CE- Credit Control Associate (Temporary),Canon Europe,"Abu Dhabi, United Arab Emirates",8 days ago,Not specified,Accounting/Finance,Full Time
Friendly Housekeeper/Personal Assistant needed,"GreatAuPair, LLC","Riyadh, Saudi Arabia",8 days ago,Not specified,Administration,Full Time
Digital Media / Audio Visual Designer,Eram Talent,"Riyadh, Saudi Arabia",8 days ago,Not specified,Creative/Design/Art,Full Time
Registrar,GEMS Group Holdings Limited,"Dubai, United Arab Emirates",8 days ago,Not specified,Administration,Full Time
Graduate Project Coordinator,AECOM,"Dubai, United Arab Emirates",8 days ago,Not specified,Administration,Full Time
ENGINEERING MATERIAL INSPECTION OFFICER (UAE National Only),Emirates Group Careers,"Dubai, United Arab Emirates",8 days ago,Not specified,Engineering - Construction/Civil/Architecture,Full Time
SEN Teacher (Secondary),PriorySouthsea,"Abu Dhabi, United Arab Emirates",8 days ago,Not specified,Administration,Full Time
Team Leader - Air Freight I Al Futtaim Automotive I Logistics,Al Futtaim Group Other locations,"Dubai, United Arab Emirates",8 days ago,Not specified,IT/Software Development,Full Time
Performance Marketing Associate,Oakfoods,"Dubai, United Arab Emirates",8 days ago,Not specified,Business Development,Full Time
Senior Project Manager,Jones Lang LaSalle Incorporated,"Abu Dhabi, United Arab Emirates",8 days ago,Not specified,Engineering - Construction/Civil/Architecture,Full Time
